Результаты расчета для бензол:
T (°C)    Плотность (г/см³)
10.00     0.8490         
12.50     0.8461         
15.00     0.8431         
17.50     0.8401         
20.00     0.8371         
22.50     0.8340         
25.00     0.8309         
27.50     0.8278         
30.00     0.8247         
32.50     0.8215         
35.00     0.8183         
37.50     0.8151         
40.00     0.8119         
42.50     0.8086         
45.00     0.8053         
47.50     0.8019         
50.00     0.7985         
52.50     0.7951         
55.00     0.7917         
57.50     0.7882         
60.00     0.7847         
62.50     0.7811         
65.00     0.7775         
67.50     0.7739         
70.00     0.7702         
72.50     0.7665         
75.00     0.7628         
77.50     0.7590         
80.00     0.7551         
